이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
1찍영포티박멸21살국민의힘당원,bounce0809,,13,982,29,18,5,75.54,1.49,2.23,99.39,1.38,-2.27,8.18
조재혁엄마,partner1206,,13,607,26,1,0,46.69,-37.27,2.0,78.82,0.08,-94.33,7.28
뚱뚱한익명이,precise6412,,13,951,12,47,29,73.15,-1.72,0.92,-17.74,3.62,156.36,12.5
ㅇㅇ,junior5650,,13,1324,14,30,6,101.85,36.84,1.08,-3.44,2.31,63.59,8.36
아이고난,codename0709,,12,575,1,10,1,47.92,-35.62,0.08,-92.85,0.83,-41.22,6.9
ㅇㅇ,119.17,,12,467,2,20,13,38.92,-47.71,0.17,-84.8,1.67,18.26,9.06
ㅇㅇ,angry1111,,12,2166,31,251,1178,180.5,142.52,2.58,130.68,20.92,1381.49,218.76
일렌,bother0947,,12,721,4,49,12,60.08,-19.28,0.33,-70.49,4.08,188.93,8.88
즛토마요네즈,carrot5151,,12,479,0,11,4,39.92,-46.36,0.0,-100.0,0.92,-34.85,7.44
ㅇㅇ,175.194,,12,779,5,19,4,64.92,-12.77,0.42,-62.45,1.58,11.89,7.44
구름시나몬,dare8986,,12,596,1,3,5,49.67,-33.26,0.08,-92.85,0.25,-82.3,7.62
ㅇㅇ,182.210,,12,1296,6,22,18,108.0,45.11,0.5,-55.29,1.83,29.6,9.96
ㅇㅇ,113.59,,12,1049,4,15,11,87.42,17.46,0.33,-70.49,1.25,-11.48,8.7
하무열,justin121810,,12,8167,203,92,41,680.58,814.42,16.92,1412.84,7.67,443.17,14.1
감_,persimmon0602,,12,1092,8,30,55,91.0,22.27,0.67,-40.09,2.5,77.04,16.62
PierreGasly,juann0709,,12,973,6,22,11,81.08,8.94,0.5,-55.29,1.83,29.6,8.7
자드가자노,pantum100,,12,840,32,18,0,70.0,-5.95,2.67,138.73,1.5,6.23,6.72
ㅇㅇ,220.117,,12,732,20,15,16,61.0,-18.04,1.67,49.32,1.25,-11.48,9.6
ㅇㅇ,makeup9501,,12,928,3,4,0,77.33,3.9,0.25,-77.65,0.33,-76.63,6.72
ㅇㅇ,stupid4291,,12,737,17,10,3,61.42,-17.48,1.42,26.96,0.83,-41.22,7.26
12,183.91,,12,994,5,30,13,82.83,11.29,0.42,-62.45,2.5,77.04,9.06
ㅇㅇ,113.131,,12,923,15,21,137,76.92,3.35,1.25,11.76,1.75,23.93,31.38
ㅇㅇ,deserve8139,,12,867,4,18,14,72.25,-2.93,0.33,-70.49,1.5,6.23,9.24
ㅇㅇ,revenge5607,,12,608,1,1,0,50.67,-31.92,0.08,-92.85,0.08,-94.33,6.72
ㅇㅇ,125.142,,12,826,1,14,14,68.83,-7.52,0.08,-92.85,1.17,-17.14,9.24
치카치카이치카,sehun365,,12,763,0,28,73,63.58,-14.57,0.0,-100.0,2.33,65.0,19.86
아랴옆자리,dozen6518,,12,872,5,48,126,72.67,-2.36,0.42,-62.45,4.0,183.27,29.4
♡정의의여신♡,special5178,,12,724,3,2,0,60.33,-18.94,0.25,-77.65,0.17,-87.96,6.72
ㅇㅇ,218.150,,12,5485,126,9,21,457.08,514.13,10.5,838.82,0.75,-46.89,10.5
알아할게,feat2246,,12,778,0,14,11,64.83,-12.9,0.0,-100.0,1.17,-17.14,8.7
ㅇㅇ,182.217,,12,1010,22,20,14,84.17,13.09,1.83,63.62,1.67,18.26,9.24
ㅇㅇ,breed3045,,12,467,0,1,0,38.92,-47.71,0.0,-100.0,0.08,-94.33,6.72
ㅇㅇ,article9106,,12,444,1,4,0,37.0,-50.29,0.08,-92.85,0.33,-76.63,6.72
ㅇㅇ,deprive1228,,12,457,0,1,0,38.08,-48.84,0.0,-100.0,0.08,-94.33,6.72
ㅇㅇ,thumb5940,,12,442,0,0,0,36.83,-50.52,0.0,-100.0,0.0,-100.0,6.72
ㅇㅇ,invade5782,,12,428,0,1,0,35.67,-52.07,0.0,-100.0,0.08,-94.33,6.72
ㅇㅇ,great2754,,12,436,0,0,0,36.33,-51.19,0.0,-100.0,0.0,-100.0,6.72
ㅇㅇ,iceberg0095,,12,1210,0,21,6,100.83,35.47,0.0,-100.0,1.75,23.93,7.8
메시의드리블분석,rescue6526,,12,827,39,4,0,68.92,-7.4,3.25,190.59,0.33,-76.63,6.72
지잡대컴공,rubber4728,,12,1188,6,39,0,99.0,33.02,0.5,-55.29,3.25,130.16,6.72
야나미쨩,behind4528,,12,775,18,6,1,64.58,-13.23,1.5,34.12,0.5,-64.59,6.9
레헬른,marriage8848,,12,1144,9,54,32,95.33,28.08,0.75,-32.94,4.5,218.68,12.48
부엉이,rival3909,,12,959,2,14,1,79.92,7.38,0.17,-84.8,1.17,-17.14,6.9
혼또니다이스키,hometown1012,,12,809,5,7,6,67.42,-9.42,0.42,-62.45,0.58,-58.93,7.8
엄진호,comedy5929,,12,879,31,18,6,73.25,-1.58,2.58,130.68,1.5,6.23,7.8
벅캣,126.133,,12,520,4,0,1,43.33,-41.78,0.33,-70.49,0.0,-100.0,6.9
ㅇㅇ,credit2689,,11,347,0,27,10,31.55,-57.61,0.0,-100.0,2.45,73.5,7.96
Hearts2Hеarts,watch9168,,11,770,17,19,4,70.0,-5.95,1.55,38.59,1.73,22.51,6.88
ㅇㅇ,rossoner,,11,875,8,18,46,79.55,6.88,0.73,-34.73,1.64,16.14,14.44
ㅇㅇ,anxious1657,,11,863,10,23,12,78.45,5.4,0.91,-18.64,2.09,48.01,8.32
ㅇㅇ,battery6440,,11,992,36,23,48,90.18,21.16,3.27,192.37,2.09,48.01,14.8
ㅇㅇ,210.205,,11,494,2,10,16,44.91,-39.66,0.18,-83.91,0.91,-35.56,9.04
김응서,kingdom1267,,11,581,2,16,7,52.82,-29.03,0.18,-83.91,1.45,2.68,7.42
nople17,image2425,,11,435,6,7,59,39.55,-46.86,0.55,-50.82,0.64,-54.68,16.78
Heartbreaker,study5440,,11,550,0,24,18,50.0,-32.82,0.0,-100.0,2.18,54.38,9.4
ㅇㅇ,124.52,,11,1376,9,11,3,125.09,68.07,0.82,-26.68,1.0,-29.18,6.7
ㅇㅇ,125.178,,11,698,7,11,30,63.45,-14.75,0.64,-42.78,1.0,-29.18,11.56
ㅇㅇ,degrade1784,,11,771,8,21,15,70.09,-5.83,0.73,-34.73,1.91,35.26,8.86
ㅗㅗ,14407944qq,,11,931,4,56,19,84.64,13.72,0.36,-67.81,5.09,260.46,9.58
ㅇㅇ,cupboard1914,,11,599,2,13,6,54.45,-26.84,0.18,-83.91,1.18,-16.44,7.24
ㅇㅇ,chalk9312,,11,631,3,4,0,57.36,-22.93,0.27,-75.86,0.36,-74.51,6.16
ㅇㅇ,smoke8007,,11,640,2,39,30,58.18,-21.83,0.18,-83.91,3.55,151.4,11.56
ㅇㅇ,county9814,,11,900,5,6,5,81.82,9.93,0.45,-59.76,0.55,-61.05,7.06
ㅇㅇ,delete4739,,11,617,1,25,38,56.09,-24.64,0.09,-91.95,2.27,60.75,13.0
설수리,world5535,,11,600,9,23,70,54.55,-26.71,0.82,-26.68,2.09,48.01,18.76
ㅇㅇ,connect4234,,11,492,3,16,1,44.73,-39.9,0.27,-75.86,1.45,2.68,6.34
ㅇㅇ,211.48,,11,1729,62,11,10,157.18,111.18,5.64,404.28,1.0,-29.18,7.96
ㅇㅇ,202.150,,11,732,4,29,8,66.55,-10.58,0.36,-67.81,2.64,86.96,7.6
ㅇㅇ,218.232,,11,915,11,22,12,83.18,11.76,1.0,-10.59,2.0,41.63,8.32
은들퍼플,family9874,,11,1396,108,10,3,126.91,70.51,9.82,778.02,0.91,-35.56,6.7
ㅇㅇ,175.213,,11,803,9,10,19,73.0,-1.92,0.82,-26.68,0.91,-35.56,9.58
자연인과함께,baked9502,,11,629,0,6,84,57.18,-23.17,0.0,-100.0,0.55,-61.05,21.28
루크르고A,content0026,,11,789,4,4,3,71.73,-3.62,0.36,-67.81,0.36,-74.51,6.7
OQ,iill11i,,11,1122,0,42,22,102.0,37.05,0.0,-100.0,3.82,170.52,10.12
그로브,orphantrain,,11,757,0,52,20,68.82,-7.53,0.0,-100.0,4.73,234.96,9.76
ㅇㅇ,125.247,,11,874,33,8,10,79.45,6.75,3.0,168.23,0.73,-48.3,7.96
ㅇㅇ,learn6382,,11,610,0,18,0,55.45,-25.5,0.0,-100.0,1.64,16.14,6.16
그녀가웃잖아,sunshine7065,,11,1120,0,50,41,101.82,36.8,0.0,-100.0,4.55,222.22,13.54
ㅇㅇ,priest9119,,11,654,0,22,9,59.45,-20.12,0.0,-100.0,2.0,41.63,7.78
신늑구,pope1432,,11,688,7,5,8,62.55,-15.96,0.64,-42.78,0.45,-68.13,7.6
sern,manager7368,,11,589,8,8,8,53.55,-28.05,0.73,-34.73,0.73,-48.3,7.6
구운뭉,approach4444,,11,922,47,45,29,83.82,12.62,4.27,281.79,4.09,189.64,11.38
김소민,june3958,,11,696,0,40,43,63.27,-14.99,0.0,-100.0,3.64,157.77,13.9
ㅇㅇ,english9254,,11,773,1,3,0,70.27,-5.59,0.09,-91.95,0.27,-80.88,6.16
ㅇㅇ,triangle9268,,11,1098,5,15,0,99.82,34.12,0.45,-59.76,1.36,-3.69,6.16
ㅇㅇ,106.255,,11,773,12,13,17,70.27,-5.59,1.09,-2.54,1.18,-16.44,9.22
pay34,iitriple,,11,621,0,22,1,56.45,-24.15,0.0,-100.0,2.0,41.63,6.34
ㅇㅇ,210.113,,11,1319,67,18,26,119.91,61.11,6.09,444.51,1.64,16.14,10.84
ㅇㅇ,124.60,,11,1045,10,11,9,95.0,27.64,0.91,-18.64,1.0,-29.18,7.78
ㅇㅇ,i414gufc0vdy,,11,919,11,18,5,83.55,12.26,1.0,-10.59,1.64,16.14,7.06
하루만원벌기,thousand7539,,11,703,0,10,5,63.91,-14.13,0.0,-100.0,0.91,-35.56,7.06
개에물린검도인,spin2749,,11,831,4,10,16,75.55,1.51,0.36,-67.81,0.91,-35.56,9.04
에스타비오,problem9893,,11,558,0,27,46,50.73,-31.84,0.0,-100.0,2.45,73.5,14.44
bluff,button2555,,11,841,0,52,5,76.45,2.72,0.0,-100.0,4.73,234.96,7.06
ㅇㅇ,confront5816,,11,440,1,1,0,40.0,-46.26,0.09,-91.95,0.09,-93.63,6.16
ㅇㅇ,strip0039,,11,412,0,1,0,37.45,-49.68,0.0,-100.0,0.09,-93.63,6.16
ㅇㅇ,evolve2385,,11,404,1,0,0,36.73,-50.65,0.09,-91.95,0.0,-100.0,6.16
ㅇㅇ,swam2698,,11,437,0,2,0,39.73,-46.62,0.0,-100.0,0.18,-87.25,6.16
rex,user5472,,11,1004,0,30,32,91.27,22.63,0.0,-100.0,2.73,93.33,11.92
ㅇㅇ,neutral0333,,11,1409,0,19,7,128.09,72.1,0.0,-100.0,1.73,22.51,7.42
구엄몽,scramble9466,,11,740,16,1,15,67.27,-9.62,1.45,29.65,0.09,-93.63,8.86
대발,original5759,,11,671,0,39,63,61.0,-18.04,0.0,-100.0,3.55,151.4,17.5
ㅇㅇ,flare2801,,11,558,1,13,7,50.73,-31.84,0.09,-91.95,1.18,-16.44,7.42
ㅇㅇ,seek8157,,11,880,29,19,0,80.0,7.49,2.64,136.05,1.73,22.51,6.16
ㅇㅇ,protest7721,,11,918,65,4,5,83.45,12.12,5.91,428.42,0.36,-74.51,7.06
세티,american2273,,11,718,2,17,14,65.27,-12.3,0.18,-83.91,1.55,9.77,8.68
이성질체,towel9260,,11,940,2,36,17,85.45,14.81,0.18,-83.91,3.27,131.57,9.22
ㅇㅇ,marine1282,,11,669,5,21,11,60.82,-18.28,0.45,-59.76,1.91,35.26,8.14
slfe,sleepforever2,,11,519,0,21,15,47.18,-36.61,0.0,-100.0,1.91,35.26,8.86
응옥헌,stand258,,11,1544,7,39,0,140.36,88.59,0.64,-42.78,3.55,151.4,6.16
촉법킥보드라이딩,6974sans523,,11,536,4,23,19,48.73,-34.53,0.36,-67.81,2.09,48.01,9.58
반수생22212,nearby4039,,10,326,0,5,2,32.6,-56.2,0.0,-100.0,0.5,-64.59,5.96
ㅇㅇ,hwlover08100,,10,573,20,29,49,57.3,-23.01,2.0,78.82,2.9,105.37,14.42
로리박사,,,10,707,11,11,0,70.7,-5.01,1.1,-1.65,1.1,-22.1,5.6
시베리아야생수컷호랑이,cartoon8669,,10,396,11,20,688,39.6,-46.79,1.1,-1.65,2.0,41.63,129.44
ㅇㅇ,175.214,,10,4472,65,28,23,447.2,500.85,6.5,481.17,2.8,98.29,9.74
ㅇㅇ,mention4015,,10,491,2,8,11,49.1,-34.03,0.2,-82.12,0.8,-43.35,7.58
ㅇㅇ,27.117,,10,432,0,6,6,43.2,-41.96,0.0,-100.0,0.6,-57.51,6.68
똑똑한고닉.,check2626,,10,631,0,17,7,63.1,-15.22,0.0,-100.0,1.7,20.39,6.86
골덕,munyul,,10,805,0,29,28,80.5,8.16,0.0,-100.0,2.9,105.37,10.64
ㅇㅇ,gorgeous0609,,10,402,11,5,11,40.2,-45.99,1.1,-1.65,0.5,-64.59,7.58
haruharu,z4q2xa62i12k,,10,769,5,23,6,76.9,3.32,0.5,-55.29,2.3,62.88,6.68
흥조띠,postpone7674,,10,477,0,17,6,47.7,-35.91,0.0,-100.0,1.7,20.39,6.68
아못봄644,comedian6014,,10,391,1,3,0,39.1,-47.47,0.1,-91.06,0.3,-78.75,5.6
27수능빡붕이,behind7974,,10,422,4,15,5,42.2,-43.3,0.4,-64.24,1.5,6.23,6.5
ㅇㅇ,112.162,,10,575,3,3,13,57.5,-22.74,0.3,-73.18,0.3,-78.75,7.94
노무현이3끼,private5342,,10,796,22,5,9,79.6,6.95,2.2,96.7,0.5,-64.59,7.22
ㅇㅇ,chemical5535,,10,4603,137,16,3,460.3,518.45,13.7,1124.93,1.6,13.31,6.14
ㅇㅇ,180.80,,10,799,0,10,93,79.9,7.35,0.0,-100.0,1.0,-29.18,22.34
삼과기,clash2405,,10,852,1,6,1,85.2,14.47,0.1,-91.06,0.6,-57.51,5.78
ㅇㅇ,lostking0,,10,835,0,21,0,83.5,12.19,0.0,-100.0,2.1,48.72,5.6
ㅇㅇ,125.242,,10,1051,24,12,10,105.1,41.21,2.4,114.59,1.2,-15.02,7.4
Hod,what8916,,10,608,2,22,19,60.8,-18.31,0.2,-82.12,2.2,55.8,9.02
뽀삐뽀삐뽀삣뽀,signal3333,,10,449,9,21,107,44.9,-39.67,0.9,-19.53,2.1,48.72,24.86
반야월역2번출구,publicly8259,,10,1216,2,15,2,121.6,63.38,0.2,-82.12,1.5,6.23,5.96
ㅇㅇ,deprive3828,,10,729,5,5,5,72.9,-2.05,0.5,-55.29,0.5,-64.59,6.5
ㅇㅇ,106.253,,10,862,0,13,2,86.2,15.82,0.0,-100.0,1.3,-7.94,5.96
신도림,joj060417,,10,934,3,38,24,93.4,25.49,0.3,-73.18,3.8,169.11,9.92
ㅇㅇ,younger9370,,10,593,4,9,30,59.3,-20.33,0.4,-64.24,0.9,-36.26,11.0
ㅇㅇ,14.138,,10,761,6,5,16,76.1,2.25,0.6,-46.35,0.5,-64.59,8.48
ㅇㅇ,211.57,,10,951,0,22,12,95.1,27.78,0.0,-100.0,2.2,55.8,7.76
ㅇㅇ,165.246,,10,826,9,17,26,82.6,10.98,0.9,-19.53,1.7,20.39,10.28
임신드릴,voyage9762,,10,678,2,26,20,67.8,-8.9,0.2,-82.12,2.6,84.12,9.2
ㅇㅇ,118.129,,10,777,2,9,1,77.7,4.4,0.2,-82.12,0.9,-36.26,5.78
ㅇㅇ,friend2659,,10,532,2,9,2,53.2,-28.52,0.2,-82.12,0.9,-36.26,5.96
ㅇㅇ,nxjzb80bhiyh,,10,656,9,27,17,65.6,-11.86,0.9,-19.53,2.7,91.21,8.66
ㅇㅇ,warmly8388,,10,678,1,13,8,67.8,-8.9,0.1,-91.06,1.3,-7.94,7.04
노베이스미필9수서울대도전기,deep8029,,10,603,2,8,1,60.3,-18.98,0.2,-82.12,0.8,-43.35,5.78
장래희망이요와,projmoonlove,,10,602,1,21,25,60.2,-19.12,0.1,-91.06,2.1,48.72,10.1
메아,cherrymea,,10,932,7,93,85,93.2,25.22,0.7,-37.41,9.3,558.6,20.9
ㅇㅇ,scope2839,,10,820,25,29,65,82.0,10.17,2.5,123.53,2.9,105.37,17.3
ㅇㅇ,carry0201,,10,1375,9,25,7,137.5,84.74,0.9,-19.53,2.5,77.04,6.86
20060825,business0166,,10,805,4,8,3,80.5,8.16,0.4,-64.24,0.8,-43.35,6.14
프로노이아,star2603,,10,773,3,34,54,77.3,3.86,0.3,-73.18,3.4,140.78,15.32
danpung,historic5498,,10,580,0,25,36,58.0,-22.07,0.0,-100.0,2.5,77.04,12.08
캄사.,hollow4723,,10,811,15,17,12,81.1,8.96,1.5,34.12,1.7,20.39,7.76
ㅇㅇ,211.195,,10,571,16,7,10,57.1,-23.28,1.6,43.06,0.7,-50.43,7.4
조화의법칙,laptop5958,,10,984,10,1,34,98.4,32.21,1.0,-10.59,0.1,-92.92,11.72
ㅇㅇ,146.70,,10,975,10,5,1,97.5,31.0,1.0,-10.59,0.5,-64.59,5.78
ㅇㅇ,210.95,,10,708,0,19,9,70.8,-4.87,0.0,-100.0,1.9,34.55,7.22
ㅇㅇ,218.52,,10,1101,2,22,15,110.1,47.93,0.2,-82.12,2.2,55.8,8.3
hymen,multiply5793,,10,497,2,0,0,49.7,-33.22,0.2,-82.12,0.0,-100.0,5.6
히토리씨,moment9898,,10,652,2,32,35,65.2,-12.4,0.2,-82.12,3.2,126.61,11.9
퓌엔,sustain1682,,10,637,3,92,79,63.7,-14.41,0.3,-73.18,9.2,551.52,19.82
ㅇㅇ,queen0045,,10,400,0,2,0,40.0,-46.26,0.0,-100.0,0.2,-85.84,5.6
벅캣,romantic2127,,10,693,25,20,19,69.3,-6.89,2.5,123.53,2.0,41.63,9.02
ㅇㅇ,majority7878,,10,370,0,1,0,37.0,-50.29,0.0,-100.0,0.1,-92.92,5.6
ㅇㅇ,ticket6780,,10,386,2,1,0,38.6,-48.14,0.2,-82.12,0.1,-92.92,5.6
인발,athlete2706,,10,613,0,25,7,61.3,-17.64,0.0,-100.0,2.5,77.04,6.86
OldGuard,wide3368,,10,4123,91,38,23,412.3,453.96,9.1,713.64,3.8,169.11,9.74
ㅇㅇ,14.53,,10,1336,35,78,39,133.6,79.5,3.5,212.94,7.8,452.37,12.62
ㅇㅇ,fold2559,,10,3775,136,21,10,377.5,407.2,13.6,1115.99,2.1,48.72,7.4
국민대꼭간다,kick4346,,10,1248,93,4,23,124.8,67.68,9.3,731.52,0.4,-71.67,9.74
탑다응디독해법,jazz4115,,10,746,13,11,8,74.6,0.23,1.3,16.23,1.1,-22.1,7.04
고블린슈타인,internet3264,,10,557,1,25,6,55.7,-25.16,0.1,-91.06,2.5,77.04,6.68
용용붕이,section1957,,10,776,3,27,21,77.6,4.26,0.3,-73.18,2.7,91.21,9.38
hymen,within3240,,10,553,15,6,0,55.3,-25.7,1.5,34.12,0.6,-57.51,5.6
ㅇㅇ,dress6546,,10,737,1,26,12,73.7,-0.98,0.1,-91.06,2.6,84.12,7.76
ㅇㅇ,cruel0984,,10,7318,91,9,1,731.8,883.24,9.1,713.64,0.9,-36.26,5.78
ㅇㅇ,luck2187,,10,873,2,9,9,87.3,17.3,0.2,-82.12,0.9,-36.26,7.22
ㅇㅇ,602kakb,,10,659,15,37,21,65.9,-11.46,1.5,34.12,3.7,162.02,9.38
ㅇㅇ,groom9238,,10,1131,5,14,9,113.1,51.96,0.5,-55.29,1.4,-0.86,7.22
ATGM애호가,extreme9856,,9,573,6,19,23,63.67,-14.45,0.67,-40.09,2.11,49.42,9.18
ㅇㅇ,1.211,,9,768,10,13,8,85.33,14.65,1.11,-0.75,1.44,1.98,6.48
ㅇㅇ,milk1693,,9,1618,3,43,24,179.78,141.55,0.33,-70.49,4.78,238.51,9.36
배급견학살자,blend0355,,9,921,52,42,9,102.33,37.49,5.78,416.8,4.67,230.72,6.66
나땅이,nd20412,,9,583,4,13,0,64.78,-12.96,0.44,-60.66,1.44,1.98,5.04
ㅇㅇ,211.212,,9,760,5,10,14,84.44,13.45,0.56,-49.93,1.11,-21.39,7.56
ㅇㅇ,112.216,,9,703,23,5,4,78.11,4.95,2.56,128.89,0.56,-60.34,5.76
retrylife,resource2314,,9,383,1,8,1,42.56,-42.82,0.11,-90.16,0.89,-36.97,5.22
안녕하시지,notice6237,,9,306,2,1,19,34.0,-54.32,0.22,-80.33,0.11,-92.21,8.46
ㅇㅇ,tongue1629,,9,706,26,25,62,78.44,5.39,2.89,158.4,2.78,96.87,16.2
박원순여비서,vacuum7838,,9,1803,58,26,0,200.33,169.16,6.44,475.81,2.89,104.66,5.04
ㅇㅇ,tape9453,,9,640,9,18,2,71.11,-4.46,1.0,-10.59,2.0,41.63,5.4
ㅇㅇ,140.248,,9,722,3,6,8,80.22,7.78,0.33,-70.49,0.67,-52.55,6.48
ㅇㅇ,thirst9393,,9,482,0,5,20,53.56,-28.04,0.0,-100.0,0.56,-60.34,8.64
강미네,sunny9060,,9,834,33,15,9,92.67,24.51,3.67,228.14,1.67,18.26,6.66
ㅇㅇ,tire4436,,9,475,2,3,5,52.78,-29.09,0.22,-80.33,0.33,-76.63,5.94
ㅇㅇ,114.199,,9,522,8,7,38,58.0,-22.07,0.89,-20.42,0.78,-44.76,11.88
경찰대입시생조강현,cozy8688,,9,547,3,10,46,60.78,-18.34,0.33,-70.49,1.11,-21.39,13.32
ㅇㅇ,27.1,,9,704,2,55,67,78.22,5.1,0.22,-80.33,6.11,332.69,17.1
고비,chill5841,,9,536,2,7,2,59.56,-19.98,0.22,-80.33,0.78,-44.76,5.4
ㅇㅇ,belong3762,,9,393,3,9,55,43.67,-41.33,0.33,-70.49,1.0,-29.18,14.94
ㅇㅇ,112.217,,9,395,2,2,11,43.89,-41.03,0.22,-80.33,0.22,-84.42,7.02
ㅇㅇ,tuna9556,,9,735,0,23,20,81.67,9.73,0.0,-100.0,2.56,81.29,8.64
여행갈게,goodbye9319,,9,374,5,23,17,41.56,-44.16,0.56,-49.93,2.56,81.29,8.1
ㅇㅇ,provide4438,,9,533,10,7,2,59.22,-20.43,1.11,-0.75,0.78,-44.76,5.4
엘런예거,complain9700,,9,689,29,21,1,76.56,2.86,3.22,187.9,2.33,65.0,5.22
ㅇㅇ,168.188,,9,586,0,11,6,65.11,-12.52,0.0,-100.0,1.22,-13.6,6.12
ㅇㅇ,125.131,,9,673,3,4,13,74.78,0.47,0.33,-70.49,0.44,-68.84,7.38
ㅇㅇ,sftsft1,,9,690,8,30,7,76.67,3.01,0.89,-20.42,3.33,135.82,6.3
ㅇㅇ,college6931,,9,658,4,4,4,73.11,-1.77,0.44,-60.66,0.44,-68.84,5.76
원나잇,sight4051,,9,414,2,9,20,46.0,-38.2,0.22,-80.33,1.0,-29.18,8.64
lbehindl,taekang2253,,9,588,1,8,1,65.33,-12.22,0.11,-90.16,0.89,-36.97,5.22
ㅇㅇ,bandage4186,,9,598,5,23,12,66.44,-10.73,0.56,-49.93,2.56,81.29,7.2
ㅎㅇ,market2779,,9,620,1,52,22,68.89,-7.44,0.11,-90.16,5.78,309.32,9.0
ㅇㅇ,125.179,,9,1138,12,11,3,126.44,69.88,1.33,18.92,1.22,-13.6,5.58
ㅇㅇ,mke223,,9,706,5,25,22,78.44,5.39,0.56,-49.93,2.78,96.87,9.0
ㅇㅇ,about6730,,9,574,3,12,14,63.78,-14.31,0.33,-70.49,1.33,-5.81,7.56
ㅇㅇ,river6108,,9,717,3,8,0,79.67,7.04,0.33,-70.49,0.89,-36.97,5.04
ㅇㅇ,116.32,,9,767,2,5,7,85.22,14.5,0.22,-80.33,0.56,-60.34,6.3
ㅇㅇ,invasion9926,,9,457,3,17,0,50.78,-31.77,0.33,-70.49,1.89,33.84,5.04
220.116,core0123,,9,745,4,20,24,82.78,11.22,0.44,-60.66,2.22,57.21,9.36
ㅇㅇ,112.121,,9,612,16,12,39,68.0,-8.64,1.78,59.15,1.33,-5.81,12.06
なきそ,disaster9000,,9,1005,6,90,52,111.67,50.04,0.67,-40.09,10.0,608.17,14.4
ㅇㅇ,bowl3708,,9,1936,20,2,3,215.11,189.02,2.22,98.49,0.22,-84.42,5.58
ㅇㅇ,1.217,,9,449,6,4,6,49.89,-32.97,0.67,-40.09,0.44,-68.84,6.12
ㅇㅇ,tent8558,,9,442,0,6,1,49.11,-34.02,0.0,-100.0,0.67,-52.55,5.22
ㅇㅇ,58.142,,9,895,2,20,11,99.44,33.61,0.22,-80.33,2.22,57.21,7.02
ㅇㅇ,rally0573,,9,607,2,30,15,67.44,-9.39,0.22,-80.33,3.33,135.82,7.74
ㅇㅇ,211.193,,9,2392,78,12,26,265.78,257.1,8.67,675.2,1.33,-5.81,9.72
ㅇㅇ,fair6323,,9,737,8,15,3,81.89,10.03,0.89,-20.42,1.67,18.26,5.58
송나향,piece1447,,9,714,0,45,28,79.33,6.59,0.0,-100.0,5.0,254.09,10.08
상남자입니다,humiliation4631,,9,751,4,18,10,83.44,12.11,0.44,-60.66,2.0,41.63,6.84
뀽뀽,shortcut4193,,9,676,4,12,16,75.11,0.92,0.44,-60.66,1.33,-5.81,7.92
ㅇㅇ,echo0109,,9,2129,99,49,46,236.56,217.84,11.0,883.52,5.44,285.25,13.32
카링,mask5640,,9,661,21,6,2,73.44,-1.33,2.33,108.33,0.67,-52.55,5.4
주먹밥쿵야,223.131,,9,644,2,44,35,71.56,-3.85,0.22,-80.33,4.89,246.3,11.34
ㅇㅇ,152.99,,9,907,0,31,43,100.78,35.41,0.0,-100.0,3.44,143.61,12.78
멘헤라,chest6775,,9,690,0,16,21,76.67,3.01,0.0,-100.0,1.78,26.05,8.82
ㅇㅇ,dryer5650,,9,677,0,8,4,75.22,1.06,0.0,-100.0,0.89,-36.97,5.76
.김안욱.,weekly8160,,9,618,0,30,5,68.67,-7.74,0.0,-100.0,3.33,135.82,5.94
빡갤일진,liberty8831,,9,530,0,2,0,58.89,-20.88,0.0,-100.0,0.22,-84.42,5.04
ㅇㅇ,correct3713,,9,523,0,13,9,58.11,-21.92,0.0,-100.0,1.44,1.98,6.66
ㅇㅇ,whole9717,,9,680,3,14,8,75.56,1.52,0.33,-70.49,1.56,10.47,6.48
ㅇㅇ,211.35,,9,555,0,6,3,61.67,-17.14,0.0,-100.0,0.67,-52.55,5.58
ㅇㅇ,pf7hbncxunzn,,9,545,8,19,6,60.56,-18.63,0.89,-20.42,2.11,49.42,6.12
ㅇㅇ,assist9055,,9,779,3,14,6,86.56,16.3,0.33,-70.49,1.56,10.47,6.12
ㅇㅇ,perceive3361,,9,1007,1,58,43,111.89,50.33,0.11,-90.16,6.44,356.06,12.78
노베3합7,enormous1019,,9,1798,39,50,29,199.78,168.42,4.33,287.15,5.56,293.74,10.26
ㅇㅇ,stand4923,,9,654,36,2,22,72.67,-2.36,4.0,257.65,0.22,-84.42,9.0
ㅇㅇ,assist0790,,9,1354,11,14,5,150.44,102.13,1.22,9.08,1.56,10.47,5.94
ㅇㅇ,thai4946,,9,322,0,0,0,35.78,-51.93,0.0,-100.0,0.0,-100.0,5.04
ㅇㅇ,popular9673,,9,331,0,0,0,36.78,-50.58,0.0,-100.0,0.0,-100.0,5.04
ㅇㅇ,route1896,,9,331,3,3,0,36.78,-50.58,0.33,-70.49,0.33,-76.63,5.04
ㅇㅇ,intend7489,,9,331,1,2,0,36.78,-50.58,0.11,-90.16,0.22,-84.42,5.04
ㅇㅇ,amaze8209,,9,332,0,1,0,36.89,-50.44,0.0,-100.0,0.11,-92.21,5.04
