이름,ID/IP,타입,글,조회수,추천,리플,댓글,평균 조회수,조회수 편차율,평균 추천 수,추천 편차율,평균 리플 수,리플 편차율,가중값
ㅇㅇ(manned7884),manned7884,비고정,6,302,0,7,3,50.33,27.29,0.0,-100.0,1.17,-1.32,3.9
ㅇㅇ(114.129),114.129,비회원,6,334,1,8,1,55.67,40.79,0.17,-77.44,1.33,12.18,3.54
ㅇㅇ(brave9193),brave9193,비고정,6,348,29,6,0,58.0,46.69,4.83,540.86,1.0,-15.65,3.36
ㅇㅇ(115.41),115.41,비회원,6,310,1,6,1,51.67,30.68,0.17,-77.44,1.0,-15.65,3.54
ㅇㅇ(211.58),211.58,비회원,6,263,0,13,5,43.83,10.85,0.0,-100.0,2.17,83.03,4.26
ㅇㅇ(frost8210),frost8210,비고정,6,194,0,7,3,32.33,-18.24,0.0,-100.0,1.17,-1.32,3.9
민주사랑단,took3264,고정,6,207,1,10,44,34.5,-12.75,0.17,-77.44,1.67,40.86,11.28
ㅇㅇ(125.248),125.248,비회원,6,251,5,10,4,41.83,5.79,0.83,10.13,1.67,40.86,4.08
ㅇㅇ(112.145),112.145,비회원,6,318,6,10,2,53.0,34.04,1.0,32.68,1.67,40.86,3.72
ㅇㅇ(111.171),111.171,비회원,6,300,0,13,5,50.0,26.45,0.0,-100.0,2.17,83.03,4.26
ㅇㅇ(reduced6629),reduced6629,비고정,6,264,0,10,5,44.0,11.28,0.0,-100.0,1.67,40.86,4.26
ㅇㅇ(helpful9845),helpful9845,비고정,6,275,3,1,2,45.83,15.91,0.5,-33.66,0.17,-85.66,3.72
국립아이숑대학교병원(220.121),220.121,비회원,6,168,0,5,6,28.0,-29.19,0.0,-100.0,0.83,-29.99,4.44
수학황재희(211.235),211.235,비회원,6,199,0,8,6,33.17,-16.11,0.0,-100.0,1.33,12.18,4.44
ㅇㅇ(14.32),14.32,비회원,6,313,3,7,3,52.17,31.94,0.5,-33.66,1.17,-1.32,3.9
ㅇㅇ(218.39),218.39,비회원,6,263,15,4,0,43.83,10.85,2.5,231.71,0.67,-43.49,3.36
ㅇㅇ(digital7549),digital7549,비고정,6,364,0,30,18,60.67,53.44,0.0,-100.0,5.0,321.73,6.6
ㅇㅇ(125.185),125.185,비회원,6,290,1,8,0,48.33,22.23,0.17,-77.44,1.33,12.18,3.36
국민대꼭간다(fulfil7812),fulfil7812,비고정,6,384,36,11,0,64.0,61.86,6.0,696.1,1.83,54.35,3.36
ㅇㅇ(218.157),218.157,비회원,6,229,0,11,4,38.17,-3.47,0.0,-100.0,1.83,54.35,4.08
코사인법칙,option7295,고정,6,273,1,4,0,45.5,15.07,0.17,-77.44,0.67,-43.49,3.36
ㅇㅇ(112.153),112.153,비회원,6,325,0,8,3,54.17,37.0,0.0,-100.0,1.33,12.18,3.9
AdachiSakura,a1543090,고정,6,344,3,14,9,57.33,44.99,0.5,-33.66,2.33,96.52,4.98
ㅇㅇ(121.65),121.65,비회원,6,303,16,5,3,50.5,27.72,2.67,254.26,0.83,-29.99,3.9
좌좀칼찌1타강사,numerous6980,고정,6,1787,107,11,7,297.83,653.23,17.83,2265.74,1.83,54.35,4.62
호림이야,m2yamura,고정,6,344,0,15,6,57.33,44.99,0.0,-100.0,2.5,110.86,4.44
ㅇㅇ(cure5003),cure5003,비고정,6,183,1,2,2,30.5,-22.86,0.17,-77.44,0.33,-72.17,3.72
ㅇㅇ(butcher5946),butcher5946,비고정,6,197,6,0,4,32.83,-16.97,1.0,32.68,0.0,-100.0,4.08
ㅇㅇ(211.228),211.228,비회원,6,319,10,10,1,53.17,34.47,1.67,121.58,1.67,40.86,3.54
moonmanggo,rush4327,고정,6,231,0,5,11,38.5,-2.63,0.0,-100.0,0.83,-29.99,5.34
ㅇㅇ(116.120),116.120,비회원,5,132,0,5,1,26.4,-33.23,0.0,-100.0,1.0,-15.65,2.98
ㅇㅇ(175.125),175.125,비회원,5,410,4,14,2,82.0,107.38,0.8,6.15,2.8,136.17,3.16
ㅇㅇ(110.12),110.12,비회원,5,211,5,5,1,42.2,6.73,1.0,32.68,1.0,-15.65,2.98
잡대탈출기(stranger2810),stranger2810,비고정,5,153,0,3,7,30.6,-22.61,0.0,-100.0,0.6,-49.39,4.06
ㅇㅇ(116.44),116.44,비회원,5,210,0,0,6,42.0,6.22,0.0,-100.0,0.0,-100.0,3.88
vw,rulod,고정,5,243,2,12,11,48.6,22.91,0.4,-46.93,2.4,102.43,4.78
한녀충(crop1420),crop1420,비고정,5,234,5,1,0,46.8,18.36,1.0,32.68,0.2,-83.13,2.8
ㅇㅇ(money1819),money1819,비고정,5,244,2,10,2,48.8,23.42,0.4,-46.93,2.0,68.69,3.16
ㅇㅇ(original6307),original6307,비고정,5,249,0,4,20,49.8,25.95,0.0,-100.0,0.8,-32.52,6.4
dd(intusker),intusker,비고정,5,269,0,1,3,53.8,36.06,0.0,-100.0,0.2,-83.13,3.34
ㅇㅇ(58.228),internal2359,고정,5,868,17,56,3544,173.6,339.05,3.4,351.12,11.2,844.67,640.72
ㅇㅇ(14.38),14.38,비회원,5,247,2,6,2,49.4,24.94,0.4,-46.93,1.2,1.21,3.16
배숨,wldrlal,고정,5,174,1,6,1,34.8,-11.99,0.2,-73.46,1.2,1.21,2.98
화작1타희망,lyanxun,고정,5,192,0,4,4,38.4,-2.88,0.0,-100.0,0.8,-32.52,3.52
ㅇㅇ(121.187),121.187,비회원,5,201,0,4,0,40.2,1.67,0.0,-100.0,0.8,-32.52,2.8
ㅇㅇ(121.167),121.167,비회원,5,308,0,14,2,61.6,55.79,0.0,-100.0,2.8,136.17,3.16
ㅇㅇ(14.34),14.34,비회원,5,215,3,9,0,43.0,8.75,0.6,-20.39,1.8,51.82,2.8
ㅇㅇ(rely2523),rely2523,비고정,5,161,0,3,2,32.2,-18.56,0.0,-100.0,0.6,-49.39,3.16
ㅇㅇ(210.126),210.126,비회원,5,321,7,9,1,64.2,62.37,1.4,85.76,1.8,51.82,2.98
ㅇㅇ(211.181),211.181,비회원,5,245,0,7,2,49.0,23.92,0.0,-100.0,1.4,18.08,3.16
ㅇㅇ(112.168),112.168,비회원,5,876,43,0,0,175.2,343.09,8.6,1041.07,0.0,-100.0,2.8
ㅇㅇ(1.215),1.215,비회원,5,382,0,6,1,76.4,93.22,0.0,-100.0,1.2,1.21,2.98
ㅇㅇ(175.200),175.200,비회원,5,208,7,3,0,41.6,5.21,1.4,85.76,0.6,-49.39,2.8
ㅇㅇ(116.37),116.37,비회원,5,300,4,12,3,60.0,51.74,0.8,6.15,2.4,102.43,3.34
726(locate0245),locate0245,비고정,5,170,0,3,2,34.0,-14.01,0.0,-100.0,0.6,-49.39,3.16
ㅇㅇ(125.180),125.180,비회원,5,257,2,28,23,51.4,29.99,0.4,-46.93,5.6,372.33,6.94
그랫서,rhdqordjqtdl,고정,5,168,0,2,2,33.6,-15.02,0.0,-100.0,0.4,-66.26,3.16
ㅇㅇ(verbal7988),verbal7988,비고정,5,234,2,3,0,46.8,18.36,0.4,-46.93,0.6,-49.39,2.8
ㅇㅇ(210.182),210.182,비회원,5,234,0,8,3,46.8,18.36,0.0,-100.0,1.6,34.95,3.34
ㅇㅇ(220.122),220.122,비회원,5,380,0,11,2,76.0,92.21,0.0,-100.0,2.2,85.56,3.16
ㅇㅇ(180.182),180.182,비회원,5,438,0,13,1,87.6,121.55,0.0,-100.0,2.6,119.3,2.98
ㅇㅇ(180.67),180.67,비회원,5,243,3,15,5,48.6,22.91,0.6,-20.39,3.0,153.04,3.7
ㅇㅇ(115.92),115.92,비회원,5,202,1,8,4,40.4,2.17,0.2,-73.46,1.6,34.95,3.52
ㅇㅇ(163.239),163.239,비회원,5,492,0,3,0,98.4,148.86,0.0,-100.0,0.6,-49.39,2.8
ㅇㅇ(211.173),211.173,비회원,5,273,5,10,6,54.6,38.09,1.0,32.68,2.0,68.69,3.88
준붕이,behavior9545,고정,5,230,2,12,3,46.0,16.34,0.4,-46.93,2.4,102.43,3.34
ㅇㅇ(182.224),182.224,비회원,5,300,0,11,0,60.0,51.74,0.0,-100.0,2.2,85.56,2.8
ㅇㅇ(112.223),112.223,비회원,5,261,5,7,22,52.2,32.02,1.0,32.68,1.4,18.08,6.76
살인범(agent6320),agent6320,비고정,5,219,14,8,0,43.8,10.77,2.8,271.51,1.6,34.95,2.8
ㅇㅇ(123.214),123.214,비회원,5,344,2,5,2,68.8,74.0,0.4,-46.93,1.0,-15.65,3.16
ㅇㅇ(211.51),211.51,비회원,5,190,0,4,0,38.0,-3.9,0.0,-100.0,0.8,-32.52,2.8
ㅇㅇ(1.212),1.212,비회원,5,122,0,0,0,24.4,-38.29,0.0,-100.0,0.0,-100.0,2.8
ㅇㅇ(month8651),month8651,비고정,5,193,1,12,6,38.6,-2.38,0.2,-73.46,2.4,102.43,3.88
ㅇㅇ(211.118),211.118,비회원,5,230,0,9,0,46.0,16.34,0.0,-100.0,1.8,51.82,2.8
안딜(tank0245),tank0245,비고정,5,380,31,18,2,76.0,92.21,6.2,722.63,3.6,203.64,3.16
ㅇㅇ(218.155),218.155,비회원,5,278,1,10,4,55.6,40.62,0.2,-73.46,2.0,68.69,3.52
ㅇㅇ(bluerose0322),bluerose0322,비고정,5,265,3,13,12,53.0,34.04,0.6,-20.39,2.6,119.3,4.96
새벽벌도서관의망령(flourish2276),flourish2276,비고정,5,263,2,2,2,52.6,33.03,0.4,-46.93,0.4,-66.26,3.16
흐어엉(farmland5334),farmland5334,비고정,5,292,2,17,15,58.4,47.7,0.4,-46.93,3.4,186.77,5.5
ㅇㅇ(turkey3127),turkey3127,비고정,5,220,1,5,3,44.0,11.28,0.2,-73.46,1.0,-15.65,3.34
애플니어,focus0801,고정,5,235,3,6,2,47.0,18.87,0.6,-20.39,1.2,1.21,3.16
ㅇㅇ(doubt7309),doubt7309,비고정,5,227,1,9,1,45.4,14.82,0.2,-73.46,1.8,51.82,2.98
ㅇㅇ(heaven0024),heaven0024,비고정,5,358,8,13,4,71.6,81.08,1.6,112.29,2.6,119.3,3.52
장삥,preserve6744,고정,5,302,9,9,9,60.4,52.76,1.8,138.83,1.8,51.82,4.42
이지후(round4230),round4230,비고정,5,255,0,7,17,51.0,28.98,0.0,-100.0,1.4,18.08,5.86
ㅇㅇ(hockey9388),hockey9388,비고정,5,293,3,8,39,58.6,48.2,0.6,-20.39,1.6,34.95,9.82
ㅇㅇ(211.187),211.187,비회원,5,363,5,6,1,72.6,83.61,1.0,32.68,1.2,1.21,2.98
ㅇㅇ(qwer432101),qwer432101,비고정,5,303,0,8,10,60.6,53.26,0.0,-100.0,1.6,34.95,4.6
ㅇㅇ(neat9158),neat9158,비고정,5,267,0,4,4,53.4,35.05,0.0,-100.0,0.8,-32.52,3.52
ㅇㅇ(pulse7242),pulse7242,비고정,5,362,3,3,3,72.4,83.1,0.6,-20.39,0.6,-49.39,3.34
ㅇㅇ(fixed7481),fixed7481,비고정,5,891,1,9,1,178.2,350.68,0.2,-73.46,1.8,51.82,2.98
ㅇㅇ(exceed1409),exceed1409,비고정,5,5822,252,12,3,1164.4,2844.85,50.4,6587.22,2.4,102.43,3.34
ㅇㅇ(vivid7472),vivid7472,비고정,5,310,15,7,12,62.0,56.8,3.0,298.05,1.4,18.08,4.96
ㅇㅇ(220.117),220.117,비회원,5,183,1,1,0,36.6,-7.44,0.2,-73.46,0.2,-83.13,2.8
한완기로확백쟁취(silk3987),silk3987,비고정,5,248,0,6,0,49.6,25.44,0.0,-100.0,1.2,1.21,2.8
ㅇㅇ(spill4057),spill4057,비고정,5,191,5,2,6,38.2,-3.39,1.0,32.68,0.4,-66.26,3.88
ㅇㅇ(bargain7241),bargain7241,비고정,5,314,12,9,3,62.8,58.83,2.4,218.44,1.8,51.82,3.34
27년2월5일의그날,lawn8320,고정,4,201,0,2,6,50.25,27.09,0.0,-100.0,0.5,-57.83,3.32
ㅇㅇ(211.215),211.215,비회원,4,172,0,4,1,43.0,8.75,0.0,-100.0,1.0,-15.65,2.42
Viper3,viper3,고정,4,182,1,5,1,45.5,15.07,0.25,-66.83,1.25,5.43,2.42
도라라라,qwerty10001,고정,4,95,0,0,26,23.75,-39.93,0.0,-100.0,0.0,-100.0,6.92
ㅇㅇ(218.233),218.233,비회원,4,147,0,5,1,36.75,-7.06,0.0,-100.0,1.25,5.43,2.42
ㅇㅇ(125.133),125.133,비회원,4,191,0,3,0,47.75,20.76,0.0,-100.0,0.75,-36.74,2.24
ㅇㅇ(logic2542),logic2542,비고정,4,239,8,2,0,59.75,51.11,2.0,165.37,0.5,-57.83,2.24
관계자외출입금지,vividboy,고정,4,209,1,3,2,52.25,32.14,0.25,-66.83,0.75,-36.74,2.6
아못봄644(comedian6014),comedian6014,비고정,4,122,0,1,0,30.5,-22.86,0.0,-100.0,0.25,-78.91,2.24
ㅗㅗ(14407944qq),14407944qq,비고정,4,203,0,11,5,50.75,28.35,0.0,-100.0,2.75,131.95,3.14
연결고리,machine7352,고정,4,127,0,8,3,31.75,-19.7,0.0,-100.0,2.0,68.69,2.78
ㅇㅇ(58.145),58.145,비회원,4,174,0,9,4,43.5,10.01,0.0,-100.0,2.25,89.78,2.96
ㅇㅇ(210.111),210.111,비회원,4,123,0,5,1,30.75,-22.23,0.0,-100.0,1.25,5.43,2.42
노무응디가좋다(saturn2605),saturn2605,비고정,4,140,7,0,1,35.0,-11.48,1.75,132.2,0.0,-100.0,2.42
DRED,pollux0505,고정,4,136,0,2,0,34.0,-14.01,0.0,-100.0,0.5,-57.83,2.24
ㅇㅇ(175.199),175.199,비회원,4,127,2,2,1,31.75,-19.7,0.5,-33.66,0.5,-57.83,2.42
ㅇㅇ(blast0663),blast0663,비고정,4,182,2,3,1,45.5,15.07,0.5,-33.66,0.75,-36.74,2.42
ㅇㅇ(chemical5535),chemical5535,비고정,4,1303,59,3,1,325.75,723.85,14.75,1857.07,0.75,-36.74,2.42
ㅇㅇ(sunday1200),sunday1200,비고정,4,139,3,1,1,34.75,-12.11,0.75,-0.49,0.25,-78.91,2.42
강민철의인체분석(manual2193),manual2193,비고정,4,240,13,5,29,60.0,51.74,3.25,331.22,1.25,5.43,7.46
ㅇㅇ(211.220),211.220,비회원,4,214,6,6,5,53.5,35.31,1.5,99.02,1.5,26.52,3.14
ㅇㅇ(211.210),211.210,비회원,4,119,0,0,0,29.75,-24.76,0.0,-100.0,0.0,-100.0,2.24
퓨런,term4794,고정,4,179,0,5,7,44.75,13.18,0.0,-100.0,1.25,5.43,3.5
샤수리꼭간다,acid5004,고정,4,121,1,0,16,30.25,-23.5,0.25,-66.83,0.0,-100.0,5.12
ㅇㅇ(211.169),211.169,비회원,4,266,2,6,3,66.5,68.18,0.5,-33.66,1.5,26.52,2.78
ㅇㅇ(112.187),112.187,비회원,4,287,8,5,1,71.75,81.46,2.0,165.37,1.25,5.43,2.42
노무현(175.197),175.197,비회원,4,147,0,2,2,36.75,-7.06,0.0,-100.0,0.5,-57.83,2.6
김히지,apap189,고정,4,2186,66,35,5,546.5,1282.14,16.5,2089.27,8.75,638.02,3.14
ㅇㅇ(smoke8007),smoke8007,비고정,4,208,1,16,11,52.0,31.51,0.25,-66.83,4.0,237.38,4.22
ㅇㅇ(maple1786),maple1786,비고정,4,144,0,1,7,36.0,-8.95,0.0,-100.0,0.25,-78.91,3.5
ㅇㅇ(125.129),125.129,비회원,4,234,7,11,12,58.5,47.95,1.75,132.2,2.75,131.95,4.4
내가니엄마다,ktwizv3,고정,4,247,0,11,4,61.75,56.17,0.0,-100.0,2.75,131.95,2.96
ㅇㅇ(175.201),175.201,비회원,4,168,0,0,0,42.0,6.22,0.0,-100.0,0.0,-100.0,2.24
아롱,al0ng,고정,4,436,28,36,17,109.0,175.67,7.0,828.78,9.0,659.11,5.3
ㅇㅇ(jeans5561),jeans5561,비고정,4,219,4,6,2,54.75,38.47,1.0,32.68,1.5,26.52,2.6
청소기입니다,airplane5468,고정,4,1401,108,16,0,350.25,785.81,27.0,3482.44,4.0,237.38,2.24
ㅇㅇ(united8179),united8179,비고정,4,174,0,1,0,43.5,10.01,0.0,-100.0,0.25,-78.91,2.24
ㅇㅇ(45.64),45.64,비회원,4,179,4,2,0,44.75,13.18,1.0,32.68,0.5,-57.83,2.24
엔더드레곤,qualification,고정,4,1659,44,29,42,414.75,948.93,11.0,1359.51,7.25,511.5,9.8
ㅇㅇ(witness8835),witness8835,비고정,4,145,0,7,1,36.25,-8.32,0.0,-100.0,1.75,47.6,2.42
잿빛머리에푸른눈동자와적당히이기적인성격,skddks,고정,4,250,0,23,16,62.5,58.07,0.0,-100.0,5.75,384.99,5.12
ㅇㅇ(49.143),49.143,비회원,4,198,0,2,0,49.5,25.19,0.0,-100.0,0.5,-57.83,2.24
Icnallo,page7932,고정,4,164,2,7,4,41.0,3.69,0.5,-33.66,1.75,47.6,2.96
ㅇㅇ(babysit1100),babysit1100,비고정,4,223,1,3,0,55.75,41.0,0.25,-66.83,0.75,-36.74,2.24
ㅇㅇ(118.37),118.37,비회원,4,179,0,6,3,44.75,13.18,0.0,-100.0,1.5,26.52,2.78
ㅇㅇ(numeral4156),numeral4156,비고정,4,310,0,9,7,77.5,96.0,0.0,-100.0,2.25,89.78,3.5
ㅇㅇ(117.53),117.53,비회원,4,139,1,0,0,34.75,-12.11,0.25,-66.83,0.0,-100.0,2.24
ㅇㅇ(also4012),also4012,비고정,4,161,3,4,1,40.25,1.8,0.75,-0.49,1.0,-15.65,2.42
ㅇㅇ(123.142),123.142,비회원,4,287,2,9,2,71.75,81.46,0.5,-33.66,2.25,89.78,2.6
ㅇㅇ(118.139),118.139,비회원,4,226,2,2,0,56.5,42.89,0.5,-33.66,0.5,-57.83,2.24
퍼리난교전문치지직에땁01,winner1775,고정,4,170,2,7,6,42.5,7.49,0.5,-33.66,1.75,47.6,3.32
ㅇㅇ(118.41),118.41,비회원,4,182,8,7,0,45.5,15.07,2.0,165.37,1.75,47.6,2.24
엘로우맨,jwooc1028,고정,4,179,0,5,1,44.75,13.18,0.0,-100.0,1.25,5.43,2.42
ㅇㅇ(runny1523),runny1523,비고정,4,220,0,0,0,55.0,39.1,0.0,-100.0,0.0,-100.0,2.24
칼부기습,dolphin9254,고정,4,349,0,24,7,87.25,120.66,0.0,-100.0,6.0,406.07,3.5
하다(diary1339),diary1339,비고정,4,224,0,2,3,56.0,41.63,0.0,-100.0,0.5,-57.83,2.78
빡갤선거관리위원회(106.254),106.254,비회원,4,111,0,1,0,27.75,-29.82,0.0,-100.0,0.25,-78.91,2.24
국립아이숑대학교(106.254),106.254,비회원,4,146,6,0,1,36.5,-7.69,1.5,99.02,0.0,-100.0,2.42
칠시,studio2989,고정,4,183,0,3,2,45.75,15.71,0.0,-100.0,0.75,-36.74,2.6
ㅇㅇ(14.51),14.51,비회원,4,228,26,0,0,57.0,44.16,6.5,762.44,0.0,-100.0,2.24
iliii11,pause5403,고정,4,257,4,4,1,64.25,62.49,1.0,32.68,1.0,-15.65,2.42
준뜌,lia892956,고정,4,272,0,8,8,68.0,71.98,0.0,-100.0,2.0,68.69,3.68
ㅇㅇ(210.100),210.100,비회원,4,188,0,2,0,47.0,18.87,0.0,-100.0,0.5,-57.83,2.24
Pneumatic(tribe5229),tribe5229,비고정,4,289,1,3,3,72.25,82.73,0.25,-66.83,0.75,-36.74,2.78
ㅇㅇ(went6538),went6538,비고정,4,238,1,4,6,59.5,50.48,0.25,-66.83,1.0,-15.65,3.32
흑흑흑흑,error0973,고정,4,206,0,5,2,51.5,30.25,0.0,-100.0,1.25,5.43,2.6
ㅇㅇ(125.181),125.181,비회원,4,295,0,9,1,73.75,86.52,0.0,-100.0,2.25,89.78,2.42
GoodLuck,n37xwmwp50gw,고정,4,220,0,3,7,55.0,39.1,0.0,-100.0,0.75,-36.74,3.5
Seklias%,7ailsera1111,고정,4,210,0,1,2,52.5,32.78,0.0,-100.0,0.25,-78.91,2.6
ㅇㅇ(internet9634),internet9634,비고정,4,173,1,6,27,43.25,9.38,0.25,-66.83,1.5,26.52,7.1
ㅇㅇ(precise1090),precise1090,비고정,4,225,0,8,9,56.25,42.26,0.0,-100.0,2.0,68.69,3.86
사랑해요바이올렛,doykim07,고정,4,166,0,5,6,41.5,4.96,0.0,-100.0,1.25,5.43,3.32
ㅇㅇ(german3145),german3145,비고정,4,236,3,13,5,59.0,49.22,0.75,-0.49,3.25,174.12,3.14
탄산단물,cubelex1234,고정,3,193,0,8,1,64.33,62.7,0.0,-100.0,2.67,125.2,1.86
칠웰,2v2v2v2v,고정,3,140,2,29,292,46.67,18.03,0.67,-11.1,9.67,715.62,54.24
ㅇㅇ(beat1029),beat1029,비고정,3,89,0,0,0,29.67,-24.96,0.0,-100.0,0.0,-100.0,1.68
ㅇㅇ(hwlover08100),hwlover08100,비고정,3,77,0,2,21,25.67,-35.08,0.0,-100.0,0.67,-43.49,5.46
...?(211.235),211.235,비회원,3,102,6,0,0,34.0,-14.01,2.0,165.37,0.0,-100.0,1.68
무서워요,basement5501,고정,3,1370,34,3,289,456.67,1054.95,11.33,1403.3,1.0,-15.65,53.7
ㅇㅇ(soccer3187),soccer3187,비고정,3,99,0,1,0,33.0,-16.54,0.0,-100.0,0.33,-72.17,1.68
마요네요,zutozutomayo,고정,3,134,3,11,301,44.67,12.97,1.0,32.68,3.67,209.55,55.86
ㅇㅇ(211.221),211.221,비회원,3,186,7,1,0,62.0,56.8,2.33,209.15,0.33,-72.17,1.68
ㅇㅇ(210.223),210.223,비회원,3,1185,67,17,3,395.0,898.98,22.33,2862.81,5.67,378.24,2.22
rb(into7434),into7434,비고정,3,96,1,7,3,32.0,-19.07,0.33,-56.21,2.33,96.52,2.22
똑똑한고닉.,check2626,고정,3,139,0,7,3,46.33,17.17,0.0,-100.0,2.33,96.52,2.22
ㅇㅇ(175.208),175.208,비회원,3,112,2,4,0,37.33,-5.59,0.67,-11.1,1.33,12.18,1.68
ㅇㅇ(118.219),118.219,비회원,3,103,0,2,0,34.33,-13.18,0.0,-100.0,0.67,-43.49,1.68
ㅇㅇ(stress1759),stress1759,비고정,3,94,0,3,0,31.33,-20.76,0.0,-100.0,1.0,-15.65,1.68
ㅇㅇ(1.233),1.233,비회원,3,605,1,10,0,201.67,410.04,0.33,-56.21,3.33,180.87,1.68
ㅇㅇ(123.108),123.108,비회원,3,84,0,2,0,28.0,-29.19,0.0,-100.0,0.67,-43.49,1.68
히카모,quarter3699,고정,3,103,0,1,3,34.33,-13.18,0.0,-100.0,0.33,-72.17,2.22
ㅇㅇ(118.45),118.45,비회원,3,153,4,2,0,51.0,28.98,1.33,76.47,0.67,-43.49,1.68
nople17,image2425,고정,3,127,2,4,2,42.33,7.06,0.67,-11.1,1.33,12.18,2.04
ㅇㅇ(211.245),211.245,비회원,3,166,14,5,2,55.33,39.93,4.67,519.63,1.67,40.86,2.04
ㅇㅇ(211.222),211.222,비회원,3,96,0,2,2,32.0,-19.07,0.0,-100.0,0.67,-43.49,2.04
ㅇㅇ(cupboard1914),cupboard1914,비고정,3,97,0,3,0,32.33,-18.24,0.0,-100.0,1.0,-15.65,1.68
ㅇㅇ(220.123),220.123,비회원,3,134,3,1,0,44.67,12.97,1.0,32.68,0.33,-72.17,1.68
ㅇㅇ(124.53),124.53,비회원,3,126,6,3,5,42.0,6.22,2.0,165.37,1.0,-15.65,2.58
ㅇㅇ(monkey3830),monkey3830,비고정,3,104,6,2,38,34.67,-12.32,2.0,165.37,0.67,-43.49,8.52
ㅇㅇ(1.219),1.219,비회원,3,186,1,4,1,62.0,56.8,0.33,-56.21,1.33,12.18,1.86
노무현오더(provide5440),provide5440,비고정,3,101,1,0,1,33.67,-14.85,0.33,-56.21,0.0,-100.0,1.86
일렌,bother0947,고정,3,165,2,13,3,55.0,39.1,0.67,-11.1,4.33,265.22,2.22
매국보수(14.42),14.42,비회원,3,224,0,1,4,74.67,88.85,0.0,-100.0,0.33,-72.17,2.4
ㅇㅇ(211.46),211.46,비회원,3,130,2,7,2,43.33,9.58,0.67,-11.1,2.33,96.52,2.04
처녀강탈자,immune1063,고정,3,157,0,8,4,52.33,32.35,0.0,-100.0,2.67,125.2,2.4
ㅇㅇ(admire6065),admire6065,비고정,3,67,0,0,1,22.33,-43.53,0.0,-100.0,0.0,-100.0,1.86
ㅇㅇ(121.189),121.189,비회원,3,106,0,0,1,35.33,-10.65,0.0,-100.0,0.0,-100.0,1.86
표본(112.150),112.150,비회원,3,80,4,0,0,26.67,-32.55,1.33,76.47,0.0,-100.0,1.68
먐먀먐(turtle4684),turtle4684,비고정,3,178,3,13,6,59.33,50.05,1.0,32.68,4.33,265.22,2.76
דָּו■ד(211.235),211.235,비회원,3,113,1,1,0,37.67,-4.73,0.33,-56.21,0.33,-72.17,1.68
스즈하,sd2741,고정,3,142,1,2,0,47.33,19.7,0.33,-56.21,0.67,-43.49,1.68
ㅇㅇ(chalk9312),chalk9312,비고정,3,109,2,0,0,36.33,-8.12,0.67,-11.1,0.0,-100.0,1.68
이채린,decline1551,고정,3,132,0,5,2,44.0,11.28,0.0,-100.0,1.67,40.86,2.04
ㅇㅇ(112.161),112.161,비회원,3,143,1,0,0,47.67,20.56,0.33,-56.21,0.0,-100.0,1.68
Iseri,giant7771,고정,3,301,7,14,37,100.33,153.74,2.33,209.15,4.67,293.89,8.34
ㅇㅇ(125.178),125.178,비회원,3,114,4,3,0,38.0,-3.9,1.33,76.47,1.0,-15.65,1.68
ㅇㅇ(219.251),219.251,비회원,3,151,0,11,5,50.33,27.29,0.0,-100.0,3.67,209.55,2.58
lisianthus(limited35),limited35,비고정,3,121,1,0,1,40.33,2.0,0.33,-56.21,0.0,-100.0,1.86
마갤횡단열차(traffic9135),traffic9135,비고정,3,439,0,15,3,146.33,270.08,0.0,-100.0,5.0,321.73,2.22
최휘영(devote9794),devote9794,비고정,3,83,0,1,1,27.67,-30.02,0.0,-100.0,0.33,-72.17,1.86
거북유방롤대남(sort5104),sort5104,비고정,3,124,1,4,4,41.33,4.53,0.33,-56.21,1.33,12.18,2.4
ㅇㅇ(123.109),123.109,비회원,3,166,5,1,0,55.33,39.93,1.67,121.58,0.33,-72.17,1.68
ㅇㅇ(118.46),118.46,비회원,3,145,2,1,0,48.33,22.23,0.67,-11.1,0.33,-72.17,1.68
ㅇㅇ(isolate5125),isolate5125,비고정,3,209,2,13,9,69.67,76.2,0.67,-11.1,4.33,265.22,3.3
liad.cohen(republic5396),republic5396,비고정,3,133,4,5,1,44.33,12.11,1.33,76.47,1.67,40.86,1.86
ㅇㅇ(125.139),125.139,비회원,3,96,1,0,0,32.0,-19.07,0.33,-56.21,0.0,-100.0,1.68
ㅇㅇ(218.239),218.239,비회원,3,114,3,1,4,38.0,-3.9,1.0,32.68,0.33,-72.17,2.4
계속한밤중이면좋을텐데,zutomayomayo,고정,3,133,0,10,5,44.33,12.11,0.0,-100.0,3.33,180.87,2.58
ㅇㅇ(211.253),211.253,비회원,3,118,0,4,0,39.33,-0.53,0.0,-100.0,1.33,12.18,1.68
ㅇㅇ(begging5818),begging5818,비고정,3,107,0,1,4,35.67,-9.79,0.0,-100.0,0.33,-72.17,2.4
ㅇㅇ(119.75),119.75,비회원,3,119,0,1,0,39.67,0.33,0.0,-100.0,0.33,-72.17,1.68
ㅇㅇ(korean3557),korean3557,비고정,3,118,0,4,2,39.33,-0.53,0.0,-100.0,1.33,12.18,2.04
ㅇㅇ(125.143),125.143,비회원,3,269,4,9,0,89.67,126.78,1.33,76.47,3.0,153.04,1.68
ㅇㅇ(poll3463),poll3463,비고정,3,130,0,0,3,43.33,9.58,0.0,-100.0,0.0,-100.0,2.22
ㅇㅇ(nephew8968),nephew8968,비고정,3,115,4,1,0,38.33,-3.06,1.33,76.47,0.33,-72.17,1.68
